10015	IGNORE	Incomplete or No Cache-control Header Set
10027	IGNORE	Information Disclosure - Suspicious Comments
10096	IGNORE	Timestamp Disclosure - Unix
10038	WARN	Content Security Policy (CSP) Header Not Set
10020	FAIL	Anti-clickjacking Header
10021	FAIL	X-Content-Type-Options Header Missing
10035	WARN	Strict-Transport-Security Header Not Set
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40018	FAIL	SQL Injection
40019	FAIL	SQL Injection - MySQL
40020	FAIL	SQL Injection - Hypersonic SQL
40021	FAIL	SQL Injection - Oracle
40022	FAIL	SQL Injection - SQLite
90022	WARN	Application Error Disclosure
10105	WARN	Weak Authentication Method
10202	WARN	Absence of Anti-CSRF Tokens
